"","indx","trigger1","trigger2","trigger3","context1","context2","context3","function1","function2","function3","content1","content2","content3","content4","time_start","time_end","duration","recur","singers_n","singers_age1","singers_age2","shape_type","appear_paint","appear_adorn","appear_cloth","appear_mask","appear_obj","restrict_sex","restrict_marry","restrict_grp1","restrict_grp2","audience_n","audience_age1","audience_age2","audience_sex","audience_marry","audience_grp1","audience_grp2","instrument_type1","instrument_type2","instrument_type3"
"3890",3890,".",".",".",".",".",".",".",".",".","Intra-community relations",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3891",3891,"Marriage",".",".",".",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3892",3892,"Marriage","Food consumption",".","Dance",".",".",".",".",".","Ingroup antagonisms","Humor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3893",3893,"Marriage",".",".",".",".",".","Humor","Intra-community relations","Marriage","Humor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3894",3894,"Marriage",".",".","Weapons","Dance",".",".",".",".","Humor","Interpersonal relations (includes love)",".",".","Early evening (1700 to 1900) (includes sunset)","Early morning (0400 to 0700) (includes daybreak, dawn)","1-10 hours","No recurrence",".",".",".",".",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3895",3895,"Dance",".",".",".",".",".","Communication",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Both sexes","Unmarried","Adolescents",".",".",".","."
"3896",3896,".",".",".","War","Fauna",".","Status, role, and prestige",".",".","Status, role, and prestige","Spectacles",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3897",3897,"Marriage",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone",".","."
"3898",3898,".",".",".",".",".",".","Interpersonal relations (includes love)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".","Adults",".",".",".","."
"3899",3899,".",".",".","Water and thirst",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3900",3900,".",".",".",".",".",".","Traditional history","Cultural identity and pride",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3901",3901,"Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".","Adults",".",".",".","."
"3902",3902,".",".",".","Location","Interpersonal relations (includes love)","Interpersonal relations (includes love)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Circle",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3903",3903,".",".",".","Travel and transportation",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Female",".",".",".",".",".",".",".",".",".",".",".",".","."
"3904",3904,"Marriage",".",".","Marriage",".",".","Marriage",".",".","Gender roles and issues","Human Biology",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3905",3905,".",".",".",".","Dance",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3906",3906,".","Games",".","Games","Intra-community relations","Cultural identity and pride","Intra-community relations",".",".","Status, role, and prestige","Gender roles and issues","Marriage","Adornment",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"3907",3907,"Games",".",".","Games",".",".",".",".",".","Status, role, and prestige","Gender roles and issues",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"3908",3908,".","Games",".","Games","Intra-community relations","Cultural identity and pride","Intra-community relations",".",".","Interpersonal relations (includes love)",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"3909",3909,".","Games",".","Games","Intra-community relations","Cultural identity and pride","Intra-community relations",".",".","Food consumption","Daily routine",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"3910",3910,".","Games",".","Games","Intra-community relations","Cultural identity and pride","Intra-community relations",".",".","Gender roles and issues","Interpersonal relations (includes love)","Status, role, and prestige",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"3911",3911,"Games",".",".","Games",".",".",".",".",".","Drives and emotions","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Disasters",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"3912",3912,"Games",".",".","Games",".",".",".",".",".","Ingroup antagonisms","Status, role, and prestige",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"3913",3913,".","Games",".","Games","Intra-community relations","Cultural identity and pride","Intra-community relations",".",".","Social stratification (includes slavery)","Status, role, and prestige",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"3914",3914,"Games",".",".","Games",".",".",".",".",".","Adornment","Gender roles and issues","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"3915",3915,".","Games",".","Games","Intra-community relations","Cultural identity and pride","Intra-community relations",".",".","Drives and emotions","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"3916",3916,"Games",".",".","Games",".",".",".",".",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Ingroup antagonisms",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"3917",3917,"Games",".",".","Games",".",".",".",".",".","Senescence",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"3918",3918,".","Games",".","Games","Intra-community relations","Cultural identity and pride","Intra-community relations",".",".","Ingroup antagonisms",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"3919",3919,"Games",".",".","Games",".",".",".",".",".","Status, role, and prestige",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"3920",3920,"Games",".",".","Games",".",".",".",".",".","Spectacles",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"3921",3921,"Games",".",".","Games",".",".",".",".",".","Interpersonal relations (includes love)",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"3922",3922,".","Games",".","Games","Intra-community relations","Cultural identity and pride","Intra-community relations",".",".","Status, role, and prestige","Drives and emotions",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"3923",3923,"Games",".",".","Games",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"3924",3924,".","Games",".","Games","Intra-community relations","Cultural identity and pride","Intra-community relations",".",".","Family (includes nuclear family, polygamy, adoption)","Ideas about nature and people",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"3925",3925,"Games",".",".","Games",".",".",".",".",".","Ingroup antagonisms",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"3926",3926,"Games",".",".","Games",".",".",".",".",".","Ingroup antagonisms",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"3927",3927,".","Games",".","Games","Intra-community relations","Cultural identity and pride","Intra-community relations",".",".","Interpersonal relations (includes love)",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"3928",3928,".","Games",".","Games","Intra-community relations","Cultural identity and pride","Intra-community relations",".",".","Sex (not extramarital)",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"3929",3929,".","Games",".","Games","Intra-community relations","Cultural identity and pride","Intra-community relations",".",".","Social stratification (includes slavery)","Pregnancy and childbirth","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"3930",3930,"Games",".",".","Games",".",".",".",".",".","Status, role, and prestige",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"3931",3931,"Games",".",".","Games",".",".",".",".",".","Processing of basic materials (such as bone, horn, shell, woodworking ceramic, metallurgy)","Status, role, and prestige",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"3932",3932,"Games",".",".","Games",".",".",".",".",".","Interpersonal relations (includes love)",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"3933",3933,"Games",".",".","Games",".",".",".",".",".","Ingroup antagonisms","Location",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".","."
"3934",3934,"Fauna",".",".","Travel and transportation",".",".",".",".",".","Fauna","Water and thirst","Food consumption","Climate",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3935",3935,"Fauna","Water and thirst",".","Water and thirst","Labor","Labor",".",".",".","Labor","Fauna","Water and thirst",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3936",3936,"Fauna",".",".","Settlements","Travel and transportation","Water and thirst",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3937",3937,"Fauna",".",".","Water and thirst",".",".",".",".",".","Fauna","Pregnancy and childbirth",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3938",3938,"Agriculture","Flora","Labor","Agriculture",".",".","Numbers and measures",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3939",3939,".",".",".","Agriculture","Fauna",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3940",3940,"Political behavior",".",".","Political behavior",".",".","Political behavior",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3941",3941,"Marriage",".",".","Marriage",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3942",3942,"Marriage",".",".","Dwellings",".",".","Status, role, and prestige",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3943",3943,"Marriage",".",".","Dance","Spectacles",".","Cultural identity and pride",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3944",3944,"Intra-community relations",".",".","Intra-community relations",".",".","Political behavior","Intra-community relations",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3945",3945,"Processing of basic materials (such as bone, horn, shell, woodworking ceramic, metallurgy)",".",".","Processing of basic materials (such as bone, horn, shell, woodworking ceramic, metallurgy)",".",".",".",".",".","Processing of basic materials (such as bone, horn, shell, woodworking ceramic, metallurgy)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3946",3946,"Interpersonal relations (includes love)",".",".",".",".",".","Interpersonal relations (includes love)",".",".","Drives and emotions","Interpersonal relations (includes love)",".",".",".",".",".",".","Solo singer","Adolescent/young adult",".",".",".",".",".",".",".",".",".",".",".","Solo listener","Adolescent/young adult",".",".",".",".",".",".",".","."
"3947",3947,"Interpersonal relations (includes love)",".",".",".",".",".","Interpersonal relations (includes love)",".",".","Interpersonal relations (includes love)",".",".",".",".",".",".",".","Solo singer","Adolescent/young adult",".",".",".",".",".",".",".",".",".",".",".","Solo listener","Adolescent/young adult",".",".",".",".",".",".",".","."
"3948",3948,".",".",".","Dance",".",".","Spectacles",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3949",3949,"Acculturation and culture contact",".",".","Dance",".",".","Spectacles",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".","Semicircle",".",".","Torso",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3950",3950,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3951",3951,"Spectacles",".",".",".",".",".","Sex (not extramarital)",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","."
"3952",3952,"War",".",".","Communication",".",".","War",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"3953",3953,"Pregnancy and childbirth",".",".",".",".",".","Spectacles",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3954",3954,".",".",".","Buying and selling",".",".","Political behavior",".",".","Political behavior",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".","Solo listener","All ages",".",".",".",".",".",".",".","."
"3955",3955,"Conversation",".",".",".",".",".",".",".",".",".","Political behavior","Political behavior","Gender roles and issues",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3956",3956,"Cultural identity and pride",".",".","Cultural identity and pride","Dance",".","Status, role, and prestige",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".","Line (or row)",".",".","Unspecified location",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".",".",".",".",".",".",".","."
"3957",3957,"Fauna",".",".","Travel and transportation","Water and thirst",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3958",3958,"Cultural identity and pride","Games",".","Games","Cultural identity and pride",".","Spectacles","Cultural identity and pride",".","Fauna",".","Spectacles",".",".",".","10 min - 1 hour","No recurrence","Multiple singers (number unknown)","Child",".","Circle",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Both sexes","Both married & unmarried","Adults",".",".",".","."
"3959",3959,".",".",".","Socialization and education",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Adolescent/young adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3960",3960,".",".",".","Infancy and childhood",".",".","Sleeping",".",".",".",".",".",".",".",".",".",".",".","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3961",3961,".",".",".","Cultural identity and pride",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adolescent/young adult",".",".",".",".",".",".",".","Both sexes",".","Singers/musicians (e.g., bards, minstrels)","Adolescents","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"3962",3962,".",".",".",".",".",".","Sickness, medical care, and shamans",".",".","Communication",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Religious people and healers (e.g., shamans, priests, doctors)",".",".",".",".",".",".",".",".",".",".","."
"3963",3963,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3964",3964,".",".",".","Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".","2-5 singers",".",".",".",".",".",".",".",".",".",".","Religious people and healers (e.g., shamans, priests, doctors)",".",".",".",".",".",".",".",".",".",".","."
"3965",3965,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Singers/musicians (e.g., bards, minstrels)","Religious people and healers (e.g., shamans, priests, doctors)",".",".",".",".",".",".",".",".",".","."
"3966",3966,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".","2-5 singers",".",".",".",".",".",".",".",".","Male",".","Religious people and healers (e.g., shamans, priests, doctors)","Singers/musicians (e.g., bards, minstrels)",".",".",".",".",".",".",".","Chordophone",".","."
"3967",3967,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".","Head/face & shoulders","Torso",".",".","Male",".","Other group (incl. proper names)",".","Multiple singers (number unknown)",".",".",".",".",".",".","Idiophone",".","."
"3968",3968,"Spectacles",".",".","Cultural identity and pride",".",".",".","Cultural identity and pride","Cultural identity and pride",".",".",".",".",".",".","<10 min","No recurrence","Solo singer",".",".","Other shape",".",".",".",".",".","Male",".","Singers/musicians (e.g., bards, minstrels)",".","Solo listener","Adult",".","Male",".","Adults",".","Idiophone",".","."
"3969",3969,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)","10 min - 1 hour","1-2 days",".",".",".",".",".",".",".",".",".",".",".","Singers/musicians (e.g., bards, minstrels)",".",".",".",".",".",".",".",".","Idiophone",".","."
"3970",3970,"Sickness, medical care, and shamans",".",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Male",".","Religious people and healers (e.g., shamans, priests, doctors)",".",".",".",".",".",".",".",".","Idiophone",".","."
"3971",3971,"Missions (missionaries)",".",".","Socialization and education",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Child",".",".",".",".",".",".",".","Male",".","Children (includes boys and girls)",".",".",".",".",".",".",".",".",".",".","."
"3972",3972,"Food processing (includes food preparation, storage, and preservation)","Flora",".","Agriculture","Flora",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3973",3973,".",".",".","Cultural identity and pride","Dance",".","Dance",".",".","Dance",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Adults",".",".",".","."
"3974",3974,".",".",".","Cultural identity and pride","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Line (or row)",".",".",".",".",".",".",".","Religious people and healers (e.g., shamans, priests, doctors)",".","Multiple singers (number unknown)","Adult",".","Male",".","Adults",".","Idiophone",".","."
"3975",3975,"Climate",".",".",".",".",".",".",".",".","Agriculture","Fauna",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3976",3976,"Climate",".",".",".",".",".",".",".",".","Climate","Fauna",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3977",3977,"Climate",".",".",".",".",".",".",".",".","Annual cycle","Fauna",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3978",3978,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance",".",".",".",".",".",".",".",".",".",".",".",".","Solo singer",".",".","Line (or row)",".",".",".",".",".","Male",".","Religious people and healers (e.g., shamans, priests, doctors)",".","Multiple singers (number unknown)","Adult",".","Both sexes",".","Adults",".","Idiophone",".","."
"3979",3979,"Recreational and non-therapeutic drugs",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Dance",".",".",".",".",".",".",".",".","Night (2200 to 0400)","Night (2200 to 0400)","1-10 hours","No recurrence","Solo singer",".",".",".",".",".",".",".",".","Male",".","Religious people and healers (e.g., shamans, priests, doctors)",".","Multiple singers (number unknown)","Adult",".",".",".","Adults",".","Idiophone",".","."
"3980",3980,"Recreational and non-therapeutic drugs",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".","Tools and appliances (not weapons)","Sickness, medical care, and shamans","Sickness, medical care, and shamans","Status, role, and prestige","Night (2200 to 0400)","Night (2200 to 0400)","1-10 hours","No recurrence","Solo singer","Adult",".",".",".",".",".",".",".","Male",".","Religious people and healers (e.g., shamans, priests, doctors)",".","Multiple singers (number unknown)","Adult",".",".",".","Adults",".",".",".","."
"3981",3981,"Recreational and non-therapeutic drugs","Sickness, medical care, and shamans",".","Sickness, medical care, and shamans",".",".",".",".",".",".",".",".",".",".",".","<10 min","No recurrence","Solo singer",".",".",".",".",".",".",".",".","Male",".","Religious people and healers (e.g., shamans, priests, doctors)",".",".",".",".",".",".",".",".","Idiophone",".","."
"3982",3982,"Communication",".",".","Communication",".",".","Communication",".",".","Tools and appliances (not weapons)","Drives and emotions",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3983",3983,"Communication",".",".","Communication",".",".","Communication",".",".","Tools and appliances (not weapons)","Drives and emotions",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3984",3984,"Communication",".",".","Communication",".",".","Communication",".",".","Tools and appliances (not weapons)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3985",3985,"Communication",".",".","Communication",".",".","Communication",".",".","Tools and appliances (not weapons)","Status, role, and prestige",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3986",3986,"Communication",".",".","Communication",".",".","Communication",".",".","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3987",3987,"Games","Communication",".",".",".",".","Communication",".",".","Tools and appliances (not weapons)","Drives and emotions","Games",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3988",3988,"Dance",".",".",".",".",".","Communication",".",".","Tools and appliances (not weapons)","Games",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3989",3989,"Crimes (violations of laws and rules)","Public opinion",".","Drives and emotions","Offenses and sanctions",".","Communication","Property",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","All ages",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".",".",".","."
"3990",3990,"Intra-community relations",".",".","Death (burials, funerals, mourning)",".",".","Communication",".",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".","Solo listener","Adult",".",".",".",".",".",".",".","."
"3991",3991,"Death (burials, funerals, mourning)","Friendships",".","Death (burials, funerals, mourning)",".",".","Communication","Death (burials, funerals, mourning)",".","Death (burials, funerals, mourning)",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3992",3992,"Cultural identity and pride",".",".",".",".",".","Cultural identity and pride",".",".","War","Weapons",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3993",3993,"Status, role, and prestige",".",".","Drives and emotions",".",".","Communication",".",".","Labor","Intra-community relations",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3994",3994,".",".",".",".",".",".","Communication",".",".","Marriage","Processing of basic materials (such as bone, horn, shell, woodworking ceramic, metallurgy)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
